<br /><br />I started watching the show in reruns in 2001	[('<', 101), ('br', 85), ('/><br', 93), ('/>I', 92), ('started', 100), ('watching', 100), ('the', 90), ('show', 92), ('in', 85), ('reruns', 92), ('in', 85), ('2001', 93)]
In a beautiful, scenic environment you will see the hard physical work that was required to survive, as well as the constant worries and concerns of the elements and the market pressures that will make a difference between success or failure	[('In', 85), ('a', 90), ('beautiful', 84), (',', 97), ('scenic', 84), ('environment', 92), ('you', 95), ('will', 100), ('see', 100), ('the', 90), ('hard', 84), ('physical', 84), ('work', 92), ('that', 90), ('was', 87), ('required', 100), ('to', 94), ('survive', 100), (',', 97), ('as', 86), ('well', 86), ('as', 98), ('the', 90), ('constant', 84), ('worries', 92), ('and', 89), ('concerns', 92), ('of', 85), ('the', 90), ('elements', 92), ('and', 89), ('the', 90), ('market', 92), ('pressures', 92), ('that', 90), ('will', 100), ('make', 100), ('a', 90), ('difference', 92), ('between', 85), ('success', 92), ('or', 89), ('failure', 92)]
See this movie and experience life as it was for most of our nation's history	[('See', 100), ('this', 90), ('movie', 92), ('and', 89), ('experience', 92), ('life', 92), ('as', 98), ('it', 95), ('was', 87), ('for', 85), ('most', 84), ('of', 85), ('our', 90), ('nation', 92), ("'s", 94), ('history', 92)]
My only question is - why aren't there more films like this one	[('My', 90), ('only', 84), ('question', 92), ('is', 87), ('-', 97), ('why', 86), ('are', 87), ("n't", 94), ('there', 95), ('more', 84), ('films', 92), ('like', 98), ('this', 90), ('one', 92)]
If you are viewing this show for the first time, you may start wondering if you are in an alternate reality	[('If', 98), ('you', 95), ('are', 87), ('viewing', 100), ('this', 90), ('show', 92), ('for', 85), ('the', 90), ('first', 84), ('time', 92), (',', 97), ('you', 95), ('may', 100), ('start', 100), ('wondering', 100), ('if', 98), ('you', 95), ('are', 87), ('in', 85), ('an', 90), ('alternate', 84), ('reality', 92)]
Colorful and imaginative characters? Entertaining dialogue? Plots that seem to have some depth to them, even creating atmospheres of suspense and drama at times? I mean, this is a syndicated children's show right? This is the same venue that has brought kids such drek as "Pokemon", "Pepper Ann", "Mighty Morphin Power Rangers", and "VR Troopers" (please note that three of the titles mentioned above are crass Japanese exports, courtesy of the Fox Network and Saban Entertainment)	[('Colorful', 84), ('and', 89), ('imaginative', 84), ('characters', 92), ('?', 97), ('Entertaining', 84), ('dialogue', 92), ('?', 97), ('Plots', 92), ('that', 90), ('seem', 100), ('to', 94), ('have', 87), ('some', 90), ('depth', 92), ('to', 85), ('them', 95), (',', 97), ('even', 86), ('creating', 100), ('atmospheres', 92), ('of', 85), ('suspense', 92), ('and', 89), ('drama', 92), ('at', 85), ('times', 92), ('?', 97), ('I', 95), ('mean', 100), (',', 97), ('this', 90), ('is', 87), ('a', 90), ('syndicated', 100), ('children', 92), ("'s", 94), ('show', 92), ('right', 84), ('?', 97), ('This', 90), ('is', 87), ('the', 90), ('same', 84), ('venue', 92), ('that', 90), ('has', 87), ('brought', 100), ('kids', 92), ('such', 84), ('drek', 86), ('as', 98), ('"', 97), ('Pokemon', 96), ('"', 97), (',', 97), ('"', 97), ('Pepper', 96), ('Ann', 96), ('"', 97), (',', 97), ('"', 97), ('Mighty', 96), ('Morphin', 96), ('Power', 96), ('Rangers', 96), ('"', 97), (',', 97), ('and', 89), ('"', 97), ('VR', 96), ('Troopers', 92), ('"', 97), ('(', 97), ('please', 91), ('note', 100), ('that', 98), ('three', 93), ('of', 85), ('the', 90), ('titles', 92), ('mentioned', 100), ('above', 86), ('are', 87), ('crass', 84), ('Japanese', 84), ('exports', 92), (',', 97), ('courtesy', 92), ('of', 85), ('the', 90), ('Fox', 96), ('Network', 96), ('and', 89), ('Saban', 96), ('Entertainment', 96), (')', 97)]
Don't worry, you are just sampling some of the quality fare that was available to kids during the late 1980's and early 1990's	[('Do', 87), ("n't", 94), ('worry', 100), (',', 97), ('you', 95), ('are', 87), ('just', 86), ('sampling', 100), ('some', 90), ('of', 85), ('the', 90), ('quality', 92), ('fare', 92), ('that', 90), ('was', 87), ('available', 84), ('to', 85), ('kids', 92), ('during', 85), ('the', 90), ('late', 84), ('1980', 93), ("'s", 94), ('and', 89), ('early', 84), ('1990', 93), ("'s", 94)]
Some examples of this period would be "Transformers", "Garfield and Friends", "Captain Power", and "C	[('Some', 90), ('examples', 92), ('of', 85), ('this', 90), ('period', 92), ('would', 100), ('be', 87), ('"', 97), ('Transformers', 96), ('"', 97), (',', 97), ('"', 97), ('Garfield', 96), ('and', 89), ('Friends', 96), ('"', 97), (',', 97), ('"', 97), ('Captain', 96), ('Power', 96), ('"', 97), (',', 97), ('and', 89), ('"', 97), ('C', 96)]
" (a cartoon NOT to be confused with the live action show on Fox)	[('"', 97), ('(', 97), ('a', 90), ('cartoon', 92), ('NOT', 86), ('to', 94), ('be', 87), ('confused', 100), ('with', 85), ('the', 90), ('live', 84), ('action', 92), ('show', 92), ('on', 85), ('Fox', 96), (')', 97)]
Besides these prime examples, Disney also returned to syndicated programs for kids, coming up with a lineup called "The Disney Afternoon"	[('Besides', 98), ('these', 90), ('prime', 84), ('examples', 92), (',', 97), ('Disney', 96), ('also', 86), ('returned', 100), ('to', 85), ('syndicated', 100), ('programs', 92), ('for', 85), ('kids', 92), (',', 97), ('coming', 100), ('up', 85), ('with', 85), ('a', 90), ('lineup', 92), ('called', 100), ('"', 97), ('The', 90), ('Disney', 96), ('Afternoon', 96), ('"', 97)]
Aside from a dumbed-down show called "The Gummi Bears", early shows like "Darkwing Duck", "Duck Tales", and "Chip 'N Dale's Rescue Rangers" gave credence to the Disney animation teams that were also turning out theatrical classics like "The Little Mermaid", "Beauty and the Beast", "The Rescuers Down Under", and "The Great Mouse Detective"	[('Aside', 86), ('from', 85), ('a', 90), ('dumbed', 100), ('-', 97), ('down', 85), ('show', 92), ('called', 100), ('"', 97), ('The', 90), ('Gummi', 96), ('Bears', 96), ('"', 97), (',', 97), ('early', 86), ('shows', 92), ('like', 98), ('"', 97), ('Darkwing', 100), ('Duck', 96), ('"', 97), (',', 97), ('"', 97), ('Duck', 96), ('Tales', 96), ('"', 97), (',', 97), ('and', 89), ('"', 97), ('Chip', 92), ("'", 97), ('N', 96), ('Dale', 96), ("'s", 94), ('Rescue', 96), ('Rangers', 96), ('"', 97), ('gave', 100), ('credence', 92), ('to', 85), ('the', 90), ('Disney', 96), ('animation', 92), ('teams', 92), ('that', 90), ('were', 87), ('also', 86), ('turning', 100), ('out', 85), ('theatrical', 84), ('classics', 92), ('like', 98), ('"', 97), ('The', 90), ('Little', 84), ('Mermaid', 96), ('"', 97), (',', 97), ('"', 97), ('Beauty', 96), ('and', 89), ('the', 90), ('Beast', 96), ('"', 97), (',', 97), ('"', 97), ('The', 90), ('Rescuers', 92), ('Down', 85), ('Under', 85), ('"', 97), (',', 97), ('and', 89), ('"', 97), ('The', 90), ('Great', 96), ('Mouse', 96), ('Detective', 96), ('"', 97)]
But above all these wonders shines "TaleSpin"	[('But', 89), ('above', 85), ('all', 90), ('these', 90), ('wonders', 92), ('shines', 100), ('"', 97), ('TaleSpin', 96), ('"', 97)]
The premiere of "Plunder and Lightning" was a two-hour thrill ride, and won an Emmy	[('The', 90), ('premiere', 92), ('of', 85), ('"', 97), ('Plunder', 96), ('and', 89), ('Lightning', 96), ('"', 97), ('was', 87), ('a', 90), ('two', 93), ('-', 97), ('hour', 92), ('thrill', 92), ('ride', 92), (',', 97), ('and', 89), ('won', 100), ('an', 90), ('Emmy', 96)]
Much to my delight, the rest of the episodes were up to par on the promise of the premiere	[('Much', 84), ('to', 85), ('my', 90), ('delight', 92), (',', 97), ('the', 90), ('rest', 92), ('of', 85), ('the', 90), ('episodes', 92), ('were', 87), ('up', 86), ('to', 85), ('par', 92), ('on', 85), ('the', 90), ('promise', 92), ('of', 85), ('the', 90), ('premiere', 92)]
<br /><br />While I enjoy the plots and dialogue, I guess for me the greatest attraction are the characters	[('<', 101), ('br', 85), ('/><br', 97), ('/>While', 97), ('I', 95), ('enjoy', 100), ('the', 90), ('plots', 92), ('and', 89), ('dialogue', 92), (',', 97), ('I', 95), ('guess', 100), ('for', 85), ('me', 95), ('the', 90), ('greatest', 84), ('attraction', 92), ('are', 87), ('the', 90), ('characters', 92)]
There's Rebecca Cunningham, an independent female, but still fallible; Kit Cloudkicker, full of pre-teen angst and optimism; Louie, with his loyalty and support; Frank Wildcat, the most entertaining engineer since Scotty on the original "Star Trek"; Molly Cunningham, cute and witty, but with some depth that most child characters don't have, and of course in the middle of it all, there's Baloo, whom I would describe as a slobby version of James Bond	[('There', 95), ("'s", 87), ('Rebecca', 96), ('Cunningham', 96), (',', 97), ('an', 90), ('independent', 84), ('female', 92), (',', 97), ('but', 89), ('still', 86), ('fallible', 84), (';', 97), ('Kit', 96), ('Cloudkicker', 96), (',', 97), ('full', 84), ('of', 85), ('pre', 84), ('-', 84), ('teen', 84), ('angst', 92), ('and', 89), ('optimism', 92), (';', 97), ('Louie', 96), (',', 97), ('with', 85), ('his', 90), ('loyalty', 92), ('and', 89), ('support', 92), (';', 97), ('Frank', 96), ('Wildcat', 96), (',', 97), ('the', 90), ('most', 86), ('entertaining', 84), ('engineer', 92), ('since', 98), ('Scotty', 96), ('on', 85), ('the', 90), ('original', 84), ('"', 97), ('Star', 96), ('Trek', 96), ('"', 97), (';', 97), ('Molly', 96), ('Cunningham', 96), (',', 97), ('cute', 84), ('and', 89), ('witty', 84), (',', 97), ('but', 89), ('with', 85), ('some', 90), ('depth', 92), ('that', 98), ('most', 84), ('child', 92), ('characters', 92), ('do', 87), ("n't", 94), ('have', 87), (',', 97), ('and', 89), ('of', 85), ('course', 92), ('in', 85), ('the', 90), ('middle', 92), ('of', 85), ('it', 95), ('all', 90), (',', 97), ('there', 95), ("'s", 87), ('Baloo', 96), (',', 97), ('whom', 95), ('I', 95), ('would', 100), ('describe', 100), ('as', 98), ('a', 90), ('slobby', 84), ('version', 92), ('of', 85), ('James', 96), ('Bond', 96)]
This is because whenever there's trouble, Baloo saves the day with the assistance of his sleeker-than-most, fastest-of-all Sea Duck (Read: James Bond's Aston Martin)	[('This', 90), ('is', 87), ('because', 98), ('whenever', 86), ('there', 95), ("'s", 87), ('trouble', 92), (',', 97), ('Baloo', 96), ('saves', 100), ('the', 90), ('day', 92), ('with', 85), ('the', 90), ('assistance', 92), ('of', 85), ('his', 90), ('sleeker', 84), ('-', 97), ('than', 98), ('-', 97), ('most', 84), (',', 97), ('fastest', 84), ('-', 97), ('of', 85), ('-', 97), ('all', 90), ('Sea', 96), ('Duck', 96), ('(', 97), ('Read', 100), (':', 97), ('James', 96), ('Bond', 96), ("'s", 94), ('Aston', 96), ('Martin', 96), (')', 97)]
Of course every great show has to have great villains, and TaleSpin doesn't disappoint here either	[('Of', 86), ('course', 86), ('every', 90), ('great', 84), ('show', 92), ('has', 87), ('to', 94), ('have', 87), ('great', 84), ('villains', 92), (',', 97), ('and', 89), ('TaleSpin', 96), ('does', 87), ("n't", 94), ('disappoint', 100), ('here', 86), ('either', 86)]
From the megalomania of businesstiger Shere Kahn, to the vain and always failing air pirate Don Karnage, to the hilarious and inept Soviet-satirized Thembrians	[('From', 85), ('the', 90), ('megalomania', 92), ('of', 85), ('businesstiger', 96), ('Shere', 96), ('Kahn', 96), (',', 97), ('to', 85), ('the', 90), ('vain', 84), ('and', 89), ('always', 86), ('failing', 100), ('air', 92), ('pirate', 92), ('Don', 96), ('Karnage', 96), (',', 97), ('to', 85), ('the', 90), ('hilarious', 84), ('and', 89), ('inept', 84), ('Soviet', 96), ('-', 97), ('satirized', 100), ('Thembrians', 92)]
The animation is good, the music appropriate, and the episodes are (for me) the finest that children's programming has ever had to offer	[('The', 90), ('animation', 92), ('is', 87), ('good', 84), (',', 97), ('the', 90), ('music', 92), ('appropriate', 84), (',', 97), ('and', 89), ('the', 90), ('episodes', 92), ('are', 87), ('(', 97), ('for', 85), ('me', 95), (')', 97), ('the', 90), ('finest', 84), ('that', 98), ('children', 92), ("'s", 94), ('programming', 92), ('has', 87), ('ever', 86), ('had', 100), ('to', 94), ('offer', 100)]
As did others in this forum, when "Fobidden Planet" was offered in 1956, I rushed to see it	[('As', 98), ('did', 87), ('others', 92), ('in', 85), ('this', 90), ('forum', 92), (',', 97), ('when', 86), ('"', 97), ('Fobidden', 96), ('Planet', 96), ('"', 97), ('was', 87), ('offered', 100), ('in', 85), ('1956', 93), (',', 97), ('I', 95), ('rushed', 100), ('to', 94), ('see', 100), ('it', 95)]
This story is an interesting phenomenon I suggest because young, old, male, female, sci-fi experts and people who find such fare 'way out" all can follow and enjoy this film's story and plot lines very well	[('This', 90), ('story', 92), ('is', 87), ('an', 90), ('interesting', 84), ('phenomenon', 92), ('I', 95), ('suggest', 100), ('because', 98), ('young', 84), (',', 97), ('old', 84), (',', 97), ('male', 84), (',', 97), ('female', 84), (',', 97), ('sci', 96), ('-', 97), ('fi', 92), ('experts', 92), ('and', 89), ('people', 92), ('who', 95), ('find', 100), ('such', 84), ('fare', 92), ("'", 97), ('way', 92), ('out', 86), ('"', 97), ('all', 90), ('can', 100), ('follow', 100), ('and', 89), ('enjoy', 100), ('this', 90), ('film', 92), ("'s", 94), ('story', 92), ('and', 89), ('plot', 92), ('lines', 92), ('very', 86), ('well', 86)]
This is the first movie set on a planet other than Earth in the 20th Century other than serials such as "Flash Gordon"	[('This', 90), ('is', 87), ('the', 90), ('first', 84), ('movie', 92), ('set', 100), ('on', 85), ('a', 90), ('planet', 92), ('other', 84), ('than', 98), ('Earth', 96), ('in', 85), ('the', 90), ('20th', 84), ('Century', 92), ('other', 84), ('than', 98), ('serials', 92), ('such', 84), ('as', 98), ('"', 97), ('Flash', 96), ('Gordon', 96), ('"', 97)]
Leslie Nielsen was vocally a bit weak for his role, at that time, but Walter Pigeon, Marvin Miller, Anne Francis, Richard Anderson, Earl Holliman and especially Warren Stevens all acquitted themselves very well	[('Leslie', 96), ('Nielsen', 96), ('was', 87), ('vocally', 86), ('a', 90), ('bit', 92), ('weak', 84), ('for', 85), ('his', 90), ('role', 92), (',', 97), ('at', 85), ('that', 90), ('time', 92), (',', 97), ('but', 89), ('Walter', 96), ('Pigeon', 96), (',', 97), ('Marvin', 96), ('Miller', 96), (',', 97), ('Anne', 96), ('Francis', 96), (',', 97), ('Richard', 96), ('Anderson', 96), (',', 97), ('Earl', 96), ('Holliman', 96), ('and', 89), ('especially', 86), ('Warren', 96), ('Stevens', 96), ('all', 90), ('acquitted', 100), ('themselves', 95), ('very', 86), ('well', 86)]
There are so many visual splendors in this one, it's hard to choose a favorite from the film's scenes	[('There', 95), ('are', 87), ('so', 86), ('many', 84), ('visual', 84), ('splendors', 92), ('in', 85), ('this', 90), ('one', 92), (',', 97), ('it', 95), ("'s", 87), ('hard', 84), ('to', 94), ('choose', 100), ('a', 90), ('favorite', 92), ('from', 85), ('the', 90), ('film', 92), ("'s", 94), ('scenes', 92)]
The approach to Altair-4, the starship itself, the landing on the planet's alien surface, the descent via extensor stairs, the first view of the landscape, the approach of the rocket-sled, Dr	[('The', 90), ('approach', 92), ('to', 85), ('Altair-4', 96), (',', 97), ('the', 90), ('starship', 92), ('itself', 95), (',', 97), ('the', 90), ('landing', 92), ('on', 85), ('the', 90), ('planet', 92), ("'s", 94), ('alien', 84), ('surface', 92), (',', 97), ('the', 90), ('descent', 92), ('via', 85), ('extensor', 92), ('stairs', 92), (',', 97), ('the', 90), ('first', 84), ('view', 92), ('of', 85), ('the', 90), ('landscape', 92), (',', 97), ('the', 90), ('approach', 92), ('of', 85), ('the', 90), ('rocket', 92), ('-', 97), ('sled', 100), (',', 97), ('Dr', 96)]
Morbius's house seen from without and from within, the underground complex and its wonders, the setup of the weaponry, the battle with the monster, the final approach of the unseen destroyer,the escape from the doomed planet--all these scenes are etched into the viewer's mind because we discover them along with the participants	[('Morbius', 96), ("'s", 94), ('house', 92), ('seen', 100), ('from', 85), ('without', 85), ('and', 89), ('from', 85), ('within', 85), (',', 97), ('the', 90), ('underground', 84), ('complex', 92), ('and', 89), ('its', 90), ('wonders', 92), (',', 97), ('the', 90), ('setup', 92), ('of', 85), ('the', 90), ('weaponry', 92), (',', 97), ('the', 90), ('battle', 92), ('with', 85), ('the', 90), ('monster', 92), (',', 97), ('the', 90), ('final', 84), ('approach', 92), ('of', 85), ('the', 90), ('unseen', 84), ('destroyer', 92), (',', 97), ('the', 90), ('escape', 92), ('from', 85), ('the', 90), ('doomed', 100), ('planet', 92), ('--', 97), ('all', 90), ('these', 90), ('scenes', 92), ('are', 87), ('etched', 100), ('into', 85), ('the', 90), ('viewer', 92), ("'s", 94), ('mind', 92), ('because', 98), ('we', 95), ('discover', 100), ('them', 95), ('along', 86), ('with', 85), ('the', 90), ('participants', 92)]
Veteran Cyril Hume's literate script was filmed intelligently by long-time director Fred McLeod Wilcox with clarity and imagination	[('Veteran', 96), ('Cyril', 96), ('Hume', 96), ("'s", 94), ('literate', 84), ('script', 92), ('was', 87), ('filmed', 100), ('intelligently', 86), ('by', 85), ('long', 84), ('-', 97), ('time', 92), ('director', 92), ('Fred', 96), ('McLeod', 96), ('Wilcox', 96), ('with', 85), ('clarity', 92), ('and', 89), ('imagination', 92)]
it is a shock to realize there's no music at all; the film is carried by the words, the actors and the mystery-revelation storyline	[('it', 95), ('is', 87), ('a', 90), ('shock', 92), ('to', 94), ('realize', 100), ('there', 95), ("'s", 87), ('no', 90), ('music', 92), ('at', 86), ('all', 86), (';', 97), ('the', 90), ('film', 92), ('is', 87), ('carried', 100), ('by', 85), ('the', 90), ('words', 92), (',', 97), ('the', 90), ('actors', 92), ('and', 89), ('the', 90), ('mystery', 92), ('-', 97), ('revelation', 92), ('storyline', 92)]
It can be watched again and again with pleasure--I have been doing so for nearly fifty years	[('It', 95), ('can', 100), ('be', 87), ('watched', 100), ('again', 86), ('and', 89), ('again', 86), ('with', 85), ('pleasure', 92), ('--', 97), ('I', 95), ('have', 87), ('been', 87), ('doing', 100), ('so', 86), ('for', 85), ('nearly', 86), ('fifty', 93), ('years', 92)]
Until this famous and well-loved film was created, no film had tried to imagine a world beyond Earth; and for decades afterward, ships kept crashing back on the planet--as if the writers' imaginations were failing and causing the crashes	[('Until', 85), ('this', 90), ('famous', 84), ('and', 89), ('well', 86), ('-', 97), ('loved', 100), ('film', 92), ('was', 87), ('created', 100), (',', 97), ('no', 90), ('film', 92), ('had', 87), ('tried', 100), ('to', 94), ('imagine', 100), ('a', 90), ('world', 92), ('beyond', 85), ('Earth', 96), (';', 97), ('and', 89), ('for', 85), ('decades', 92), ('afterward', 86), (',', 97), ('ships', 92), ('kept', 100), ('crashing', 100), ('back', 86), ('on', 85), ('the', 90), ('planet', 92), ('--', 97), ('as', 98), ('if', 98), ('the', 90), ('writers', 92), ("'", 94), ('imaginations', 92), ('were', 87), ('failing', 100), ('and', 89), ('causing', 100), ('the', 90), ('crashes', 92)]
That says something negative about this nation's so-called intellectual leaders' imaginations--and something very positive indeed I suggest about those who made this gem	[('That', 90), ('says', 100), ('something', 95), ('negative', 84), ('about', 85), ('this', 90), ('nation', 92), ("'s", 94), ('so', 86), ('-', 97), ('called', 100), ('intellectual', 84), ('leaders', 92), ("'", 94), ('imaginations', 92), ('--', 97), ('and', 89), ('something', 95), ('very', 86), ('positive', 84), ('indeed', 86), ('I', 95), ('suggest', 100), ('about', 85), ('those', 90), ('who', 95), ('made', 100), ('this', 90), ('gem', 92)]
The funky, yet strictly second-tier British glam-rock band Strange Fruit breaks up at the end of the wild'n'wacky excess-ridden 70's	[('The', 90), ('funky', 84), (',', 97), ('yet', 89), ('strictly', 86), ('second', 84), ('-', 97), ('tier', 92), ('British', 84), ('glam', 84), ('-', 97), ('rock', 92), ('band', 92), ('Strange', 96), ('Fruit', 96), ('breaks', 100), ('up', 85), ('at', 85), ('the', 90), ('end', 92), ('of', 85), ('the', 90), ("wild'n'wacky", 84), ('excess', 86), ('-', 97), ('ridden', 100), ('70', 93), ("'s", 94)]
The individual band members go their separate ways and uncomfortably settle into lackluster middle age in the dull and uneventful 90's: morose keyboardist Stephen Rea winds up penniless and down on his luck, vain, neurotic, pretentious lead singer Bill Nighy tries (and fails) to pursue a floundering solo career, paranoid drummer Timothy Spall resides in obscurity on a remote farm so he can avoid paying a hefty back taxes debt, and surly bass player Jimmy Nail installs roofs for a living	[('The', 90), ('individual', 84), ('band', 92), ('members', 92), ('go', 100), ('their', 90), ('separate', 84), ('ways', 92), ('and', 89), ('uncomfortably', 86), ('settle', 100), ('into', 85), ('lackluster', 84), ('middle', 84), ('age', 92), ('in', 85), ('the', 90), ('dull', 84), ('and', 89), ('uneventful', 84), ('90', 93), ("'s", 94), (':', 97), ('morose', 92), ('keyboardist', 92), ('Stephen', 96), ('Rea', 96), ('winds', 100), ('up', 85), ('penniless', 84), ('and', 89), ('down', 86), ('on', 85), ('his', 90), ('luck', 92), (',', 97), ('vain', 84), (',', 97), ('neurotic', 84), (',', 97), ('pretentious', 84), ('lead', 92), ('singer', 92), ('Bill', 96), ('Nighy', 96), ('tries', 100), ('(', 97), ('and', 89), ('fails', 100), (')', 97), ('to', 94), ('pursue', 100), ('a', 90), ('floundering', 100), ('solo', 92), ('career', 92), (',', 97), ('paranoid', 84), ('drummer', 92), ('Timothy', 96), ('Spall', 96), ('resides', 100), ('in', 85), ('obscurity', 92), ('on', 85), ('a', 90), ('remote', 84), ('farm', 92), ('so', 98), ('he', 95), ('can', 100), ('avoid', 100), ('paying', 100), ('a', 90), ('hefty', 84), ('back', 84), ('taxes', 92), ('debt', 92), (',', 97), ('and', 89), ('surly', 84), ('bass', 92), ('player', 92), ('Jimmy', 96), ('Nail', 96), ('installs', 100), ('roofs', 92), ('for', 85), ('a', 90), ('living', 92)]
