<br /><br />I started watching the show in reruns in 2001	[('the show', 'show', 'dobj', 'watching'), ('reruns', 'reruns', 'pobj', 'in')]
My only question is - why aren't there more films like this one	[('My only question', 'question', 'nsubj', 'is'), ('more films', 'films', 'attr', 'are'), ('this one', 'one', 'pobj', 'like')]
If you are viewing this show for the first time, you may start wondering if you are in an alternate reality	[('you', 'you', 'nsubj', 'viewing'), ('this show', 'show', 'dobj', 'viewing'), ('the first time', 'time', 'pobj', 'for'), ('you', 'you', 'nsubj', 'start'), ('you', 'you', 'nsubj', 'are'), ('an alternate reality', 'reality', 'pobj', 'in')]
Colorful and imaginative characters? Entertaining dialogue? Plots that seem to have some depth to them, even creating atmospheres of suspense and drama at times? I mean, this is a syndicated children's show right? This is the same venue that has brought kids such drek as "Pokemon", "Pepper Ann", "Mighty Morphin Power Rangers", and "VR Troopers" (please note that three of the titles mentioned above are crass Japanese exports, courtesy of the Fox Network and Saban Entertainment)	[('Colorful and imaginative characters', 'characters', 'ROOT', 'characters'), ('Entertaining dialogue', 'dialogue', 'ROOT', 'dialogue'), ('Plots', 'Plots', 'ROOT', 'Plots'), ('some depth', 'depth', 'dobj', 'have'), ('them', 'them', 'pobj', 'to'), ('atmospheres', 'atmospheres', 'dobj', 'creating'), ('suspense', 'suspense', 'pobj', 'of'), ('drama', 'drama', 'conj', 'suspense'), ('times', 'times', 'pobj', 'at'), ('I', 'I', 'nsubj', 'mean'), ("a syndicated children's show", 'show', 'attr', 'is'), ('the same venue', 'venue', 'attr', 'is'), ('kids', 'kids', 'dobj', 'brought'), ('Pokemon', 'Pokemon', 'pobj', 'as'), ('"Pepper Ann', 'Ann', 'appos', 'This'), ('Mighty Morphin Power Rangers', 'Rangers', 'appos', 'Ann'), ('"VR Troopers', 'Troopers', 'conj', 'Ann'), ('the titles', 'titles', 'pobj', 'of'), ('crass Japanese exports', 'exports', 'attr', 'are'), ('courtesy', 'courtesy', 'conj', 'exports'), ('the Fox Network', 'Network', 'pobj', 'of'), ('Saban Entertainment', 'Entertainment', 'conj', 'Network')]
Don't worry, you are just sampling some of the quality fare that was available to kids during the late 1980's and early 1990's	[('you', 'you', 'nsubj', 'sampling'), ('the quality fare', 'fare', 'pobj', 'of'), ('kids', 'kids', 'pobj', 'to')]
Some examples of this period would be "Transformers", "Garfield and Friends", "Captain Power", and "C	[('Some examples', 'examples', 'nsubj', 'be'), ('this period', 'period', 'pobj', 'of'), ('"Transformers', 'Transformers', 'attr', 'be'), ('Garfield', 'Garfield', 'appos', 'Transformers'), ('Friends', 'Friends', 'conj', 'Garfield'), ('Captain Power', 'Power', 'appos', 'Transformers'), ('"C', 'C', 'conj', 'Power')]
" (a cartoon NOT to be confused with the live action show on Fox)	[('" (a cartoon', 'cartoon', 'ROOT', 'cartoon'), ('the live action show', 'show', 'pobj', 'with'), ('Fox', 'Fox', 'pobj', 'on')]
Besides these prime examples, Disney also returned to syndicated programs for kids, coming up with a lineup called "The Disney Afternoon"	[('these prime examples', 'examples', 'pobj', 'Besides'), ('Disney', 'Disney', 'nsubj', 'returned'), ('syndicated programs', 'programs', 'pobj', 'to'), ('kids', 'kids', 'pobj', 'for'), ('a lineup', 'lineup', 'pobj', 'with')]
Aside from a dumbed-down show called "The Gummi Bears", early shows like "Darkwing Duck", "Duck Tales", and "Chip 'N Dale's Rescue Rangers" gave credence to the Disney animation teams that were also turning out theatrical classics like "The Little Mermaid", "Beauty and the Beast", "The Rescuers Down Under", and "The Great Mouse Detective"	[('a dumbed-down show', 'show', 'pobj', 'from'), ('Duck', 'Duck', 'dobj', 'Darkwing'), ('"Duck Tales', 'Tales', 'pobj', 'like'), ('"Chip \'N Dale\'s Rescue Rangers', 'Rangers', 'conj', 'Tales'), ('credence', 'credence', 'dobj', 'gave'), ('the Disney animation teams', 'teams', 'pobj', 'to'), ('theatrical classics', 'classics', 'dobj', 'turning'), ('"The Little Mermaid', 'Mermaid', 'pobj', 'like'), ('Beauty', 'Beauty', 'conj', 'Mermaid'), ('the Beast', 'Beast', 'conj', 'Beauty'), ('The Rescuers', 'Rescuers', 'appos', 'Mermaid'), ('"The Great Mouse Detective', 'Detective', 'conj', 'Rescuers')]
But above all these wonders shines "TaleSpin"	[('all these wonders', 'wonders', 'nsubj', 'shines'), ('TaleSpin', 'TaleSpin', 'dobj', 'shines')]
The premiere of "Plunder and Lightning" was a two-hour thrill ride, and won an Emmy	[('The premiere', 'premiere', 'nsubj', 'was'), ('Plunder', 'Plunder', 'pobj', 'of'), ('Lightning', 'Lightning', 'conj', 'Plunder'), ('a two-hour thrill ride', 'ride', 'attr', 'was'), ('an Emmy', 'Emmy', 'dobj', 'won')]
Much to my delight, the rest of the episodes were up to par on the promise of the premiere	[('my delight', 'delight', 'pobj', 'to'), ('the rest', 'rest', 'nsubj', 'were'), ('the episodes', 'episodes', 'pobj', 'of'), ('par', 'par', 'pobj', 'to'), ('the promise', 'promise', 'pobj', 'on'), ('the premiere', 'premiere', 'pobj', 'of')]
<br /><br />While I enjoy the plots and dialogue, I guess for me the greatest attraction are the characters	[('I', 'I', 'nsubj', 'enjoy'), ('the plots', 'plots', 'dobj', 'enjoy'), ('dialogue', 'dialogue', 'conj', 'plots'), ('I', 'I', 'nsubj', 'guess'), ('me', 'me', 'pobj', 'for'), ('the greatest attraction', 'attraction', 'nsubj', 'are'), ('the characters', 'characters', 'attr', 'are')]
There's Rebecca Cunningham, an independent female, but still fallible; Kit Cloudkicker, full of pre-teen angst and optimism; Louie, with his loyalty and support; Frank Wildcat, the most entertaining engineer since Scotty on the original "Star Trek"; Molly Cunningham, cute and witty, but with some depth that most child characters don't have, and of course in the middle of it all, there's Baloo, whom I would describe as a slobby version of James Bond	[('Rebecca Cunningham', 'Cunningham', 'attr', "'s"), ('an independent female', 'female', 'appos', 'Cunningham'), ('Kit Cloudkicker', 'Cloudkicker', 'appos', 'Cunningham'), ('pre-teen angst', 'angst', 'pobj', 'of'), ('optimism', 'optimism', 'conj', 'angst'), ('Louie', 'Louie', 'appos', 'Cunningham'), ('his loyalty', 'loyalty', 'pobj', 'with'), ('support', 'support', 'conj', 'loyalty'), ('Frank Wildcat', 'Wildcat', 'conj', 'Cunningham'), ('the most entertaining engineer', 'engineer', 'appos', 'Wildcat'), ('Scotty', 'Scotty', 'pobj', 'since'), ('the original "Star Trek', 'Trek', 'pobj', 'on'), ('Molly Cunningham', 'Cunningham', 'conj', 'Wildcat'), ('some depth', 'depth', 'pobj', 'with'), ('most child characters', 'characters', 'nsubj', 'have'), ('course', 'course', 'pobj', 'of'), ('the middle', 'middle', 'pobj', 'in'), ('it', 'it', 'pobj', 'of'), ('Baloo', 'Baloo', 'attr', "'s"), ('whom', 'whom', 'dobj', 'describe'), ('I', 'I', 'nsubj', 'describe'), ('a slobby version', 'version', 'pobj', 'as'), ('James Bond', 'Bond', 'pobj', 'of')]
This is because whenever there's trouble, Baloo saves the day with the assistance of his sleeker-than-most, fastest-of-all Sea Duck (Read: James Bond's Aston Martin)	[('trouble', 'trouble', 'attr', "'s"), ('Baloo', 'Baloo', 'nsubj', 'saves'), ('the day', 'day', 'dobj', 'saves'), ('the assistance', 'assistance', 'pobj', 'with'), ('his sleeker-than-most, fastest-of-all Sea Duck', 'Duck', 'pobj', 'of'), ("James Bond's Aston Martin", 'Martin', 'ROOT', 'Martin')]
Of course every great show has to have great villains, and TaleSpin doesn't disappoint here either	[('every great show', 'show', 'nsubj', 'has'), ('great villains', 'villains', 'dobj', 'have'), ('TaleSpin', 'TaleSpin', 'nsubj', 'disappoint')]
From the megalomania of businesstiger Shere Kahn, to the vain and always failing air pirate Don Karnage, to the hilarious and inept Soviet-satirized Thembrians	[('the megalomania', 'megalomania', 'pobj', 'From'), ('businesstiger Shere Kahn', 'Kahn', 'pobj', 'of'), ('air pirate Don Karnage', 'Karnage', 'pobj', 'to'), ('the hilarious and inept Soviet-satirized Thembrians', 'Thembrians', 'pobj', 'to')]
The animation is good, the music appropriate, and the episodes are (for me) the finest that children's programming has ever had to offer	[('The animation', 'animation', 'nsubj', 'is'), ('the music', 'music', 'nsubj', 'appropriate'), ('the episodes', 'episodes', 'nsubj', 'are'), ('me', 'me', 'pobj', 'for'), ("children's programming", 'programming', 'nsubj', 'had')]
As did others in this forum, when "Fobidden Planet" was offered in 1956, I rushed to see it	[('others', 'others', 'nsubj', 'did'), ('this forum', 'forum', 'pobj', 'in'), ('Fobidden Planet', 'Planet', 'nsubjpass', 'offered'), ('I', 'I', 'nsubj', 'rushed'), ('it', 'it', 'dobj', 'see')]
This story is an interesting phenomenon I suggest because young, old, male, female, sci-fi experts and people who find such fare 'way out" all can follow and enjoy this film's story and plot lines very well	[('This story', 'story', 'nsubj', 'is'), ('an interesting phenomenon', 'phenomenon', 'attr', 'is'), ('I', 'I', 'nsubj', 'suggest'), ('young, old, male, female, sci-fi experts', 'experts', 'nsubj', 'follow'), ('people', 'people', 'conj', 'experts'), ('who', 'who', 'nsubj', 'find'), ("such fare 'way", 'way', 'dobj', 'find'), ("this film's story and plot lines", 'lines', 'dobj', 'enjoy')]
This is the first movie set on a planet other than Earth in the 20th Century other than serials such as "Flash Gordon"	[('the first movie', 'movie', 'attr', 'is'), ('a planet', 'planet', 'pobj', 'on'), ('Earth', 'Earth', 'pobj', 'than'), ('the 20th Century', 'Century', 'pobj', 'in'), ('serials', 'serials', 'pobj', 'than'), ('"Flash Gordon', 'Gordon', 'pobj', 'as')]
Leslie Nielsen was vocally a bit weak for his role, at that time, but Walter Pigeon, Marvin Miller, Anne Francis, Richard Anderson, Earl Holliman and especially Warren Stevens all acquitted themselves very well	[('Leslie Nielsen', 'Nielsen', 'nsubj', 'was'), ('his role', 'role', 'pobj', 'for'), ('that time', 'time', 'pobj', 'at'), ('Walter Pigeon', 'Pigeon', 'nsubj', 'acquitted'), ('Marvin Miller', 'Miller', 'appos', 'Pigeon'), ('Anne Francis', 'Francis', 'conj', 'Miller'), ('Richard Anderson', 'Anderson', 'conj', 'Francis'), ('Earl Holliman', 'Holliman', 'conj', 'Anderson'), ('especially Warren Stevens', 'Stevens', 'conj', 'Holliman'), ('themselves', 'themselves', 'dobj', 'acquitted')]
There are so many visual splendors in this one, it's hard to choose a favorite from the film's scenes	[('so many visual splendors', 'splendors', 'attr', 'are'), ('this one', 'one', 'pobj', 'in'), ('it', 'it', 'nsubj', "'s"), ('a favorite', 'favorite', 'dobj', 'choose'), ("the film's scenes", 'scenes', 'pobj', 'from')]
The approach to Altair-4, the starship itself, the landing on the planet's alien surface, the descent via extensor stairs, the first view of the landscape, the approach of the rocket-sled, Dr	[('The approach', 'approach', 'ROOT', 'approach'), ('Altair-4', 'Altair-4', 'pobj', 'to'), ('the starship', 'starship', 'appos', 'Altair-4'), ('itself', 'itself', 'appos', 'starship'), ('the landing', 'landing', 'appos', 'approach'), ("the planet's alien surface", 'surface', 'pobj', 'on'), ('the descent', 'descent', 'conj', 'landing'), ('extensor stairs', 'stairs', 'pobj', 'via'), ('the first view', 'view', 'appos', 'approach'), ('the landscape', 'landscape', 'pobj', 'of'), ('the approach', 'approach', 'appos', 'view'), ('Dr', 'Dr', 'pobj', ',')]
Morbius's house seen from without and from within, the underground complex and its wonders, the setup of the weaponry, the battle with the monster, the final approach of the unseen destroyer,the escape from the doomed planet--all these scenes are etched into the viewer's mind because we discover them along with the participants	[("Morbius's house", 'house', 'nsubj', 'seen'), ('the underground complex', 'complex', 'nsubjpass', 'etched'), ('its wonders', 'wonders', 'conj', 'complex'), ('the setup', 'setup', 'appos', 'complex'), ('the weaponry', 'weaponry', 'pobj', 'of'), ('the battle', 'battle', 'appos', 'complex'), ('the monster', 'monster', 'pobj', 'with'), ('the final approach', 'approach', 'appos', 'monster'), ('the unseen destroyer', 'destroyer', 'pobj', 'of'), ('the escape', 'escape', 'conj', 'complex'), ('the doomed planet', 'planet', 'pobj', 'from'), ('all these scenes', 'scenes', 'nsubjpass', 'etched'), ("the viewer's mind", 'mind', 'pobj', 'into'), ('we', 'we', 'nsubj', 'discover'), ('them', 'them', 'dobj', 'discover'), ('the participants', 'participants', 'pobj', 'with')]
Veteran Cyril Hume's literate script was filmed intelligently by long-time director Fred McLeod Wilcox with clarity and imagination	[("Veteran Cyril Hume's literate script", 'script', 'nsubjpass', 'filmed'), ('long-time director Fred McLeod Wilcox', 'Wilcox', 'pobj', 'by'), ('clarity', 'clarity', 'pobj', 'with'), ('imagination', 'imagination', 'conj', 'clarity')]
it is a shock to realize there's no music at all; the film is carried by the words, the actors and the mystery-revelation storyline	[('it', 'it', 'nsubj', 'is'), ('a shock', 'shock', 'attr', 'is'), ('no music', 'music', 'attr', "'s"), ('the film', 'film', 'nsubjpass', 'carried'), ('the words', 'words', 'pobj', 'by'), ('the actors', 'actors', 'conj', 'words'), ('the mystery-revelation storyline', 'storyline', 'conj', 'actors')]
It can be watched again and again with pleasure--I have been doing so for nearly fifty years	[('It', 'It', 'nsubjpass', 'watched'), ('pleasure', 'pleasure', 'pobj', 'with'), ('I', 'I', 'nsubj', 'doing'), ('nearly fifty years', 'years', 'pobj', 'for')]
Until this famous and well-loved film was created, no film had tried to imagine a world beyond Earth; and for decades afterward, ships kept crashing back on the planet--as if the writers' imaginations were failing and causing the crashes	[('this famous and well-loved film', 'film', 'nsubjpass', 'created'), ('no film', 'film', 'nsubj', 'tried'), ('a world', 'world', 'dobj', 'imagine'), ('Earth', 'Earth', 'pobj', 'beyond'), ('decades', 'decades', 'pobj', 'for'), ('ships', 'ships', 'nsubj', 'kept'), ('the planet', 'planet', 'pobj', 'on'), ("the writers' imaginations", 'imaginations', 'nsubj', 'failing'), ('the crashes', 'crashes', 'dobj', 'causing')]
That says something negative about this nation's so-called intellectual leaders' imaginations--and something very positive indeed I suggest about those who made this gem	[('something', 'something', 'dobj', 'says'), ("this nation's so-called intellectual leaders' imaginations", 'imaginations', 'pobj', 'about'), ('something', 'something', 'conj', 'says'), ('I', 'I', 'nsubj', 'suggest'), ('who', 'who', 'nsubj', 'made'), ('this gem', 'gem', 'dobj', 'made')]
The funky, yet strictly second-tier British glam-rock band Strange Fruit breaks up at the end of the wild'n'wacky excess-ridden 70's	[('The funky, yet strictly second-tier British glam-rock band Strange Fruit', 'Fruit', 'nsubj', 'breaks'), ('the end', 'end', 'pobj', 'at')]
The individual band members go their separate ways and uncomfortably settle into lackluster middle age in the dull and uneventful 90's: morose keyboardist Stephen Rea winds up penniless and down on his luck, vain, neurotic, pretentious lead singer Bill Nighy tries (and fails) to pursue a floundering solo career, paranoid drummer Timothy Spall resides in obscurity on a remote farm so he can avoid paying a hefty back taxes debt, and surly bass player Jimmy Nail installs roofs for a living	[('The individual band members', 'members', 'nsubj', 'go'), ('their separate ways', 'ways', 'dobj', 'go'), ('lackluster middle age', 'age', 'pobj', 'into'), ('morose keyboardist Stephen Rea', 'Rea', 'nsubj', 'winds'), ('his luck', 'luck', 'pobj', 'on'), ('vain, neurotic, pretentious lead singer Bill Nighy', 'Nighy', 'nsubj', 'tries'), ('a floundering solo career', 'career', 'dobj', 'pursue'), ('paranoid drummer Timothy Spall', 'Spall', 'nsubj', 'resides'), ('obscurity', 'obscurity', 'pobj', 'in'), ('a remote farm', 'farm', 'pobj', 'on'), ('he', 'he', 'nsubj', 'avoid'), ('a hefty back taxes debt', 'debt', 'dobj', 'paying'), ('surly bass player Jimmy Nail installs roofs', 'roofs', 'ROOT', 'roofs'), ('a living', 'living', 'pobj', 'for')]
Former loving groupie turned patient, understanding, long-suffering manager Juliet Aubrey gets the group back together for an ill-advised, largely ineffectual and hilariously disastrous twenty years later nostalgic reunion tour of Europe	[('Former loving groupie', 'groupie', 'nsubj', 'turned'), ('long-suffering manager Juliet Aubrey', 'Aubrey', 'nsubj', 'gets'), ('the group', 'group', 'dobj', 'gets'), ('an ill-advised, largely ineffectual and hilariously disastrous twenty years later nostalgic reunion tour', 'tour', 'pobj', 'for'), ('Europe', 'Europe', 'pobj', 'of')]
Our lovably ragged bunch try gamely, but fumblingly to reignite a flame that once burned quite brightly back in the day	[('Our lovably ragged bunch', 'bunch', 'nsubj', 'try'), ('a flame', 'flame', 'dobj', 'reignite'), ('the day', 'day', 'pobj', 'in')]
Scraggly zonked-out roadie Billy Connelly and cocky eager beaver young guitarist Hans Matheson tag along for the delightfully bumpy, trouble-plagued, but still ultimately rewarding and enjoyable ride	[('Scraggly zonked-out roadie', 'roadie', 'ROOT', 'roadie'), ('cocky eager beaver young guitarist Hans Matheson', 'Matheson', 'nsubj', 'tag'), ('ride', 'ride', 'pobj', 'for')]
<br /><br />Director Brian Gibson shows tremendously infectious respect and adoration for both his amiably screwy characters in particular and loud, ringing, flamboyantly overblown preening 70's rock in general, this imbuing this affectionate little pip with an utterly engaging sense of big-hearted charm and tireless verve	[('Brian Gibson', 'Gibson', 'nsubj', 'shows'), ('tremendously infectious respect', 'respect', 'dobj', 'shows'), ('adoration', 'adoration', 'conj', 'respect'), ('both his amiably screwy characters', 'characters', 'pobj', 'for'), ("70's rock", 'rock', 'dobj', 'preening'), ('this affectionate little pip', 'pip', 'dobj', 'imbuing'), ('an utterly engaging sense', 'sense', 'pobj', 'with'), ('big-hearted charm', 'charm', 'pobj', 'of')]
The astute, sharply written script by Dick Clement and Ian La Frenais likewise bristles with spot-on dry wit and finely observed moments of joyous on the road inanity, capturing a certain bittersweetly affecting and frequently uproarious vibe that gives the picture itself an irresistibly luminescent glow	[('The astute', 'astute', 'nsubj', 'written'), ('Dick Clement', 'Clement', 'pobj', 'by'), ('Ian La Frenais', 'Frenais', 'conj', 'Clement'), ('dry wit', 'wit', 'pobj', 'on'), ('the road inanity', 'inanity', 'pobj', 'on'), ('the picture', 'picture', 'dative', 'gives'), ('itself', 'itself', 'appos', 'picture'), ('an irresistibly luminescent glow', 'glow', 'dobj', 'gives')]
Ashley Rowe's lovely, elegant cinematography ensures that the movie always looks quite visually sumptuous while the perfectly catchy and groovy music does the trick with right-on rockin' flair and aplomb	[('Ashley Rowe', 'Rowe', 'nsubj', 'ensures'), ('elegant cinematography', 'cinematography', 'nsubj', 'ensures'), ('the movie', 'movie', 'nsubj', 'looks'), ('the perfectly catchy and groovy music', 'music', 'nsubj', 'does'), ('the trick', 'trick', 'dobj', 'does'), ("right-on rockin' flair", 'flair', 'pobj', 'with'), ('aplomb', 'aplomb', 'conj', 'flair')]
Kudos also to the across-the-board terrific performances that vividly nail the burnt-out soul and tattered, but still fiercely beating heart of a past its prime has-been ragtag rock outfit desperate to regain its erstwhile evanescent glory in one final bid for big time success	[('Kudos', 'Kudos', 'ROOT', 'Kudos'), ('the-board', 'board', 'pobj', 'across'), ('the burnt-out soul', 'soul', 'dobj', 'nail'), ('heart', 'heart', 'dobj', 'beating'), ('its prime', 'prime', 'pobj', 'past'), ('its erstwhile evanescent glory', 'glory', 'dobj', 'regain'), ('one final bid', 'bid', 'pobj', 'in'), ('big time success', 'success', 'pobj', 'for')]
All in all, this radiant and touching gem rates highly as one of the true seriocomic sleeper treats from the 90's	[('All in all, this radiant and touching gem rates', 'rates', 'ROOT', 'rates')]
I work at a movie store, and as such, I am always on the look-out for an excellent movie	[('I', 'I', 'nsubj', 'work'), ('a movie store', 'store', 'pobj', 'at'), ('I', 'I', 'nsubj', 'am'), ('the look-out', 'out', 'pobj', 'on'), ('an excellent movie', 'movie', 'pobj', 'for')]
I decided to check out Nothing as it sat in our Canadian section, and I've been trying to support my country's movie industry	[('I', 'I', 'nsubj', 'decided'), ('Nothing', 'Nothing', 'dobj', 'check'), ('it', 'it', 'nsubj', 'sat'), ('our Canadian section', 'section', 'pobj', 'in'), ('I', 'I', 'nsubj', 'trying'), ("my country's movie industry", 'industry', 'dobj', 'support')]
The film features David Hewlett and Andrew Miller in a highly entertaining story that seems to delve into so much of our minds and relationships	[('The film', 'film', 'nsubj', 'features'), ('David Hewlett', 'Hewlett', 'dobj', 'features'), ('Andrew Miller', 'Miller', 'conj', 'Hewlett'), ('a highly entertaining story', 'story', 'pobj', 'in'), ('our minds', 'minds', 'pobj', 'of'), ('relationships', 'relationships', 'conj', 'minds')]
It is consistently comedic through the interaction of the two characters, as well as some funny exchanges ("We can't be dead, we have cable!")	[('It', 'It', 'nsubj', 'is'), ('the interaction', 'interaction', 'pobj', 'through'), ('the two characters', 'characters', 'pobj', 'of'), ('some funny exchanges', 'exchanges', 'attr', 'is'), ('We', 'We', 'nsubj', 'be'), ('we', 'we', 'nsubj', 'have'), ('cable', 'cable', 'dobj', 'have')]
What more can I say without noting that it is worth a shot, even if you abandon it within the first half an hour	[('I', 'I', 'nsubj', 'say'), ('it', 'it', 'nsubj', 'is'), ('you', 'you', 'nsubj', 'abandon'), ('it', 'it', 'dobj', 'abandon'), ('the first half an hour', 'hour', 'pobj', 'within')]
Dominion tank police is an exercise in contradictive film making	[('Dominion tank police', 'police', 'nsubj', 'is'), ('an exercise', 'exercise', 'attr', 'is'), ('contradictive film making', 'making', 'pobj', 'in')]
The storyline across the 4 parts blends mindless action, slap-stick humor, touching humanity and thought provoking philosophical questions	[('The storyline', 'storyline', 'nsubj', 'blends'), ('the 4 parts', 'parts', 'pobj', 'across'), ('mindless action', 'action', 'dobj', 'blends'), ('slap-stick humor', 'humor', 'appos', 'action'), ('humanity', 'humanity', 'dobj', 'touching'), ('philosophical questions', 'questions', 'dobj', 'provoking')]
It's hard to believe that there was only one director, as the style changes from episode to episode	[('It', 'It', 'nsubj', "'s"), ('only one director', 'director', 'attr', 'was'), ('the style', 'style', 'nsubj', 'changes'), ('episode', 'episode', 'pobj', 'from')]
A must-see movie for anyone who likes anime	[('A must-see movie', 'movie', 'ROOT', 'movie'), ('anyone', 'anyone', 'pobj', 'for'), ('who', 'who', 'nsubj', 'likes'), ('anime', 'anime', 'dobj', 'likes')]
enjoyed the movie and efficient Confucian crime drama, the old order survives the threat posed by a brash young greedy man, no doubt representing modern society	[('the movie', 'movie', 'dobj', 'enjoyed'), ('Confucian crime drama', 'drama', 'conj', 'movie'), ('the old order', 'order', 'nsubj', 'survives'), ('the threat', 'threat', 'dobj', 'survives'), ('a brash young greedy man', 'man', 'pobj', 'by'), ('modern society', 'society', 'dobj', 'representing')]
