<br /><br />I started watching the show in reruns in 2001	['<', 'br', '/><br', '/>I', 'started', 'watching', 'the', 'show', 'in', 'reruns', 'in', '2001']
1 game & you are out huh Danny? <br /><br />Jesse & Joey keep getting jobs REALLY QUICKLY with no experience	['1', 'game', '&', 'you', 'are', 'out', 'huh', 'Danny', '?', '<', 'br', '/><br', '/>Jesse', '&', 'Joey', 'keep', 'getting', 'jobs', 'REALLY', 'QUICKLY', 'with', 'no', 'experience']
Wish Jodie Sweetin could have learned from Candace Cameron Bure & had a clean NON drug adult life	['Wish', 'Jodie', 'Sweetin', 'could', 'have', 'learned', 'from', 'Candace', 'Cameron', 'Bure', '&', 'had', 'a', 'clean', 'NON', 'drug', 'adult', 'life']
It is a realistic depiction of rural ranching life which was a big part of American History	['It', 'is', 'a', 'realistic', 'depiction', 'of', 'rural', 'ranching', 'life', 'which', 'was', 'a', 'big', 'part', 'of', 'American', 'History']
The setting is 1906 Wyoming where life had not changed much since the previous century	['The', 'setting', 'is', '1906', 'Wyoming', 'where', 'life', 'had', 'not', 'changed', 'much', 'since', 'the', 'previous', 'century']
The film keeps your interest without the added Hollywood myths	['The', 'film', 'keeps', 'your', 'interest', 'without', 'the', 'added', 'Hollywood', 'myths']
The whole family can see this movie and be intrigued about how life was like in America when it was mostly a rural nation	['The', 'whole', 'family', 'can', 'see', 'this', 'movie', 'and', 'be', 'intrigued', 'about', 'how', 'life', 'was', 'like', 'in', 'America', 'when', 'it', 'was', 'mostly', 'a', 'rural', 'nation']
With this film, you will escape the present and witness the daily life of 100 years ago	['With', 'this', 'film', ',', 'you', 'will', 'escape', 'the', 'present', 'and', 'witness', 'the', 'daily', 'life', 'of', '100', 'years', 'ago']
In a beautiful, scenic environment you will see the hard physical work that was required to survive, as well as the constant worries and concerns of the elements and the market pressures that will make a difference between success or failure	['In', 'a', 'beautiful', ',', 'scenic', 'environment', 'you', 'will', 'see', 'the', 'hard', 'physical', 'work', 'that', 'was', 'required', 'to', 'survive', ',', 'as', 'well', 'as', 'the', 'constant', 'worries', 'and', 'concerns', 'of', 'the', 'elements', 'and', 'the', 'market', 'pressures', 'that', 'will', 'make', 'a', 'difference', 'between', 'success', 'or', 'failure']
See this movie and experience life as it was for most of our nation's history	['See', 'this', 'movie', 'and', 'experience', 'life', 'as', 'it', 'was', 'for', 'most', 'of', 'our', 'nation', "'s", 'history']
My only question is - why aren't there more films like this one	['My', 'only', 'question', 'is', '-', 'why', 'are', "n't", 'there', 'more', 'films', 'like', 'this', 'one']
If you are viewing this show for the first time, you may start wondering if you are in an alternate reality	['If', 'you', 'are', 'viewing', 'this', 'show', 'for', 'the', 'first', 'time', ',', 'you', 'may', 'start', 'wondering', 'if', 'you', 'are', 'in', 'an', 'alternate', 'reality']
Colorful and imaginative characters? Entertaining dialogue? Plots that seem to have some depth to them, even creating atmospheres of suspense and drama at times? I mean, this is a syndicated children's show right? This is the same venue that has brought kids such drek as "Pokemon", "Pepper Ann", "Mighty Morphin Power Rangers", and "VR Troopers" (please note that three of the titles mentioned above are crass Japanese exports, courtesy of the Fox Network and Saban Entertainment)	['Colorful', 'and', 'imaginative', 'characters', '?', 'Entertaining', 'dialogue', '?', 'Plots', 'that', 'seem', 'to', 'have', 'some', 'depth', 'to', 'them', ',', 'even', 'creating', 'atmospheres', 'of', 'suspense', 'and', 'drama', 'at', 'times', '?', 'I', 'mean', ',', 'this', 'is', 'a', 'syndicated', 'children', "'s", 'show', 'right', '?', 'This', 'is', 'the', 'same', 'venue', 'that', 'has', 'brought', 'kids', 'such', 'drek', 'as', '"', 'Pokemon', '"', ',', '"', 'Pepper', 'Ann', '"', ',', '"', 'Mighty', 'Morphin', 'Power', 'Rangers', '"', ',', 'and', '"', 'VR', 'Troopers', '"', '(', 'please', 'note', 'that', 'three', 'of', 'the', 'titles', 'mentioned', 'above', 'are', 'crass', 'Japanese', 'exports', ',', 'courtesy', 'of', 'the', 'Fox', 'Network', 'and', 'Saban', 'Entertainment', ')']
Don't worry, you are just sampling some of the quality fare that was available to kids during the late 1980's and early 1990's	['Do', "n't", 'worry', ',', 'you', 'are', 'just', 'sampling', 'some', 'of', 'the', 'quality', 'fare', 'that', 'was', 'available', 'to', 'kids', 'during', 'the', 'late', '1980', "'s", 'and', 'early', '1990', "'s"]
Some examples of this period would be "Transformers", "Garfield and Friends", "Captain Power", and "C	['Some', 'examples', 'of', 'this', 'period', 'would', 'be', '"', 'Transformers', '"', ',', '"', 'Garfield', 'and', 'Friends', '"', ',', '"', 'Captain', 'Power', '"', ',', 'and', '"', 'C']
" (a cartoon NOT to be confused with the live action show on Fox)	['"', '(', 'a', 'cartoon', 'NOT', 'to', 'be', 'confused', 'with', 'the', 'live', 'action', 'show', 'on', 'Fox', ')']
Besides these prime examples, Disney also returned to syndicated programs for kids, coming up with a lineup called "The Disney Afternoon"	['Besides', 'these', 'prime', 'examples', ',', 'Disney', 'also', 'returned', 'to', 'syndicated', 'programs', 'for', 'kids', ',', 'coming', 'up', 'with', 'a', 'lineup', 'called', '"', 'The', 'Disney', 'Afternoon', '"']
Aside from a dumbed-down show called "The Gummi Bears", early shows like "Darkwing Duck", "Duck Tales", and "Chip 'N Dale's Rescue Rangers" gave credence to the Disney animation teams that were also turning out theatrical classics like "The Little Mermaid", "Beauty and the Beast", "The Rescuers Down Under", and "The Great Mouse Detective"	['Aside', 'from', 'a', 'dumbed', '-', 'down', 'show', 'called', '"', 'The', 'Gummi', 'Bears', '"', ',', 'early', 'shows', 'like', '"', 'Darkwing', 'Duck', '"', ',', '"', 'Duck', 'Tales', '"', ',', 'and', '"', 'Chip', "'", 'N', 'Dale', "'s", 'Rescue', 'Rangers', '"', 'gave', 'credence', 'to', 'the', 'Disney', 'animation', 'teams', 'that', 'were', 'also', 'turning', 'out', 'theatrical', 'classics', 'like', '"', 'The', 'Little', 'Mermaid', '"', ',', '"', 'Beauty', 'and', 'the', 'Beast', '"', ',', '"', 'The', 'Rescuers', 'Down', 'Under', '"', ',', 'and', '"', 'The', 'Great', 'Mouse', 'Detective', '"']
But above all these wonders shines "TaleSpin"	['But', 'above', 'all', 'these', 'wonders', 'shines', '"', 'TaleSpin', '"']
The premiere of "Plunder and Lightning" was a two-hour thrill ride, and won an Emmy	['The', 'premiere', 'of', '"', 'Plunder', 'and', 'Lightning', '"', 'was', 'a', 'two', '-', 'hour', 'thrill', 'ride', ',', 'and', 'won', 'an', 'Emmy']
Much to my delight, the rest of the episodes were up to par on the promise of the premiere	['Much', 'to', 'my', 'delight', ',', 'the', 'rest', 'of', 'the', 'episodes', 'were', 'up', 'to', 'par', 'on', 'the', 'promise', 'of', 'the', 'premiere']
<br /><br />While I enjoy the plots and dialogue, I guess for me the greatest attraction are the characters	['<', 'br', '/><br', '/>While', 'I', 'enjoy', 'the', 'plots', 'and', 'dialogue', ',', 'I', 'guess', 'for', 'me', 'the', 'greatest', 'attraction', 'are', 'the', 'characters']
There's Rebecca Cunningham, an independent female, but still fallible; Kit Cloudkicker, full of pre-teen angst and optimism; Louie, with his loyalty and support; Frank Wildcat, the most entertaining engineer since Scotty on the original "Star Trek"; Molly Cunningham, cute and witty, but with some depth that most child characters don't have, and of course in the middle of it all, there's Baloo, whom I would describe as a slobby version of James Bond	['There', "'s", 'Rebecca', 'Cunningham', ',', 'an', 'independent', 'female', ',', 'but', 'still', 'fallible', ';', 'Kit', 'Cloudkicker', ',', 'full', 'of', 'pre', '-', 'teen', 'angst', 'and', 'optimism', ';', 'Louie', ',', 'with', 'his', 'loyalty', 'and', 'support', ';', 'Frank', 'Wildcat', ',', 'the', 'most', 'entertaining', 'engineer', 'since', 'Scotty', 'on', 'the', 'original', '"', 'Star', 'Trek', '"', ';', 'Molly', 'Cunningham', ',', 'cute', 'and', 'witty', ',', 'but', 'with', 'some', 'depth', 'that', 'most', 'child', 'characters', 'do', "n't", 'have', ',', 'and', 'of', 'course', 'in', 'the', 'middle', 'of', 'it', 'all', ',', 'there', "'s", 'Baloo', ',', 'whom', 'I', 'would', 'describe', 'as', 'a', 'slobby', 'version', 'of', 'James', 'Bond']
This is because whenever there's trouble, Baloo saves the day with the assistance of his sleeker-than-most, fastest-of-all Sea Duck (Read: James Bond's Aston Martin)	['This', 'is', 'because', 'whenever', 'there', "'s", 'trouble', ',', 'Baloo', 'saves', 'the', 'day', 'with', 'the', 'assistance', 'of', 'his', 'sleeker', '-', 'than', '-', 'most', ',', 'fastest', '-', 'of', '-', 'all', 'Sea', 'Duck', '(', 'Read', ':', 'James', 'Bond', "'s", 'Aston', 'Martin', ')']
Of course every great show has to have great villains, and TaleSpin doesn't disappoint here either	['Of', 'course', 'every', 'great', 'show', 'has', 'to', 'have', 'great', 'villains', ',', 'and', 'TaleSpin', 'does', "n't", 'disappoint', 'here', 'either']
From the megalomania of businesstiger Shere Kahn, to the vain and always failing air pirate Don Karnage, to the hilarious and inept Soviet-satirized Thembrians	['From', 'the', 'megalomania', 'of', 'businesstiger', 'Shere', 'Kahn', ',', 'to', 'the', 'vain', 'and', 'always', 'failing', 'air', 'pirate', 'Don', 'Karnage', ',', 'to', 'the', 'hilarious', 'and', 'inept', 'Soviet', '-', 'satirized', 'Thembrians']
The animation is good, the music appropriate, and the episodes are (for me) the finest that children's programming has ever had to offer	['The', 'animation', 'is', 'good', ',', 'the', 'music', 'appropriate', ',', 'and', 'the', 'episodes', 'are', '(', 'for', 'me', ')', 'the', 'finest', 'that', 'children', "'s", 'programming', 'has', 'ever', 'had', 'to', 'offer']
As did others in this forum, when "Fobidden Planet" was offered in 1956, I rushed to see it	['As', 'did', 'others', 'in', 'this', 'forum', ',', 'when', '"', 'Fobidden', 'Planet', '"', 'was', 'offered', 'in', '1956', ',', 'I', 'rushed', 'to', 'see', 'it']
This story is an interesting phenomenon I suggest because young, old, male, female, sci-fi experts and people who find such fare 'way out" all can follow and enjoy this film's story and plot lines very well	['This', 'story', 'is', 'an', 'interesting', 'phenomenon', 'I', 'suggest', 'because', 'young', ',', 'old', ',', 'male', ',', 'female', ',', 'sci', '-', 'fi', 'experts', 'and', 'people', 'who', 'find', 'such', 'fare', "'", 'way', 'out', '"', 'all', 'can', 'follow', 'and', 'enjoy', 'this', 'film', "'s", 'story', 'and', 'plot', 'lines', 'very', 'well']
This is the first movie set on a planet other than Earth in the 20th Century other than serials such as "Flash Gordon"	['This', 'is', 'the', 'first', 'movie', 'set', 'on', 'a', 'planet', 'other', 'than', 'Earth', 'in', 'the', '20th', 'Century', 'other', 'than', 'serials', 'such', 'as', '"', 'Flash', 'Gordon', '"']
Leslie Nielsen was vocally a bit weak for his role, at that time, but Walter Pigeon, Marvin Miller, Anne Francis, Richard Anderson, Earl Holliman and especially Warren Stevens all acquitted themselves very well	['Leslie', 'Nielsen', 'was', 'vocally', 'a', 'bit', 'weak', 'for', 'his', 'role', ',', 'at', 'that', 'time', ',', 'but', 'Walter', 'Pigeon', ',', 'Marvin', 'Miller', ',', 'Anne', 'Francis', ',', 'Richard', 'Anderson', ',', 'Earl', 'Holliman', 'and', 'especially', 'Warren', 'Stevens', 'all', 'acquitted', 'themselves', 'very', 'well']
There are so many visual splendors in this one, it's hard to choose a favorite from the film's scenes	['There', 'are', 'so', 'many', 'visual', 'splendors', 'in', 'this', 'one', ',', 'it', "'s", 'hard', 'to', 'choose', 'a', 'favorite', 'from', 'the', 'film', "'s", 'scenes']
The approach to Altair-4, the starship itself, the landing on the planet's alien surface, the descent via extensor stairs, the first view of the landscape, the approach of the rocket-sled, Dr	['The', 'approach', 'to', 'Altair-4', ',', 'the', 'starship', 'itself', ',', 'the', 'landing', 'on', 'the', 'planet', "'s", 'alien', 'surface', ',', 'the', 'descent', 'via', 'extensor', 'stairs', ',', 'the', 'first', 'view', 'of', 'the', 'landscape', ',', 'the', 'approach', 'of', 'the', 'rocket', '-', 'sled', ',', 'Dr']
Morbius's house seen from without and from within, the underground complex and its wonders, the setup of the weaponry, the battle with the monster, the final approach of the unseen destroyer,the escape from the doomed planet--all these scenes are etched into the viewer's mind because we discover them along with the participants	['Morbius', "'s", 'house', 'seen', 'from', 'without', 'and', 'from', 'within', ',', 'the', 'underground', 'complex', 'and', 'its', 'wonders', ',', 'the', 'setup', 'of', 'the', 'weaponry', ',', 'the', 'battle', 'with', 'the', 'monster', ',', 'the', 'final', 'approach', 'of', 'the', 'unseen', 'destroyer', ',', 'the', 'escape', 'from', 'the', 'doomed', 'planet', '--', 'all', 'these', 'scenes', 'are', 'etched', 'into', 'the', 'viewer', "'s", 'mind', 'because', 'we', 'discover', 'them', 'along', 'with', 'the', 'participants']
Veteran Cyril Hume's literate script was filmed intelligently by long-time director Fred McLeod Wilcox with clarity and imagination	['Veteran', 'Cyril', 'Hume', "'s", 'literate', 'script', 'was', 'filmed', 'intelligently', 'by', 'long', '-', 'time', 'director', 'Fred', 'McLeod', 'Wilcox', 'with', 'clarity', 'and', 'imagination']
it is a shock to realize there's no music at all; the film is carried by the words, the actors and the mystery-revelation storyline	['it', 'is', 'a', 'shock', 'to', 'realize', 'there', "'s", 'no', 'music', 'at', 'all', ';', 'the', 'film', 'is', 'carried', 'by', 'the', 'words', ',', 'the', 'actors', 'and', 'the', 'mystery', '-', 'revelation', 'storyline']
It can be watched again and again with pleasure--I have been doing so for nearly fifty years	['It', 'can', 'be', 'watched', 'again', 'and', 'again', 'with', 'pleasure', '--', 'I', 'have', 'been', 'doing', 'so', 'for', 'nearly', 'fifty', 'years']
Until this famous and well-loved film was created, no film had tried to imagine a world beyond Earth; and for decades afterward, ships kept crashing back on the planet--as if the writers' imaginations were failing and causing the crashes	['Until', 'this', 'famous', 'and', 'well', '-', 'loved', 'film', 'was', 'created', ',', 'no', 'film', 'had', 'tried', 'to', 'imagine', 'a', 'world', 'beyond', 'Earth', ';', 'and', 'for', 'decades', 'afterward', ',', 'ships', 'kept', 'crashing', 'back', 'on', 'the', 'planet', '--', 'as', 'if', 'the', 'writers', "'", 'imaginations', 'were', 'failing', 'and', 'causing', 'the', 'crashes']
That says something negative about this nation's so-called intellectual leaders' imaginations--and something very positive indeed I suggest about those who made this gem	['That', 'says', 'something', 'negative', 'about', 'this', 'nation', "'s", 'so', '-', 'called', 'intellectual', 'leaders', "'", 'imaginations', '--', 'and', 'something', 'very', 'positive', 'indeed', 'I', 'suggest', 'about', 'those', 'who', 'made', 'this', 'gem']
The funky, yet strictly second-tier British glam-rock band Strange Fruit breaks up at the end of the wild'n'wacky excess-ridden 70's	['The', 'funky', ',', 'yet', 'strictly', 'second', '-', 'tier', 'British', 'glam', '-', 'rock', 'band', 'Strange', 'Fruit', 'breaks', 'up', 'at', 'the', 'end', 'of', 'the', "wild'n'wacky", 'excess', '-', 'ridden', '70', "'s"]
The individual band members go their separate ways and uncomfortably settle into lackluster middle age in the dull and uneventful 90's: morose keyboardist Stephen Rea winds up penniless and down on his luck, vain, neurotic, pretentious lead singer Bill Nighy tries (and fails) to pursue a floundering solo career, paranoid drummer Timothy Spall resides in obscurity on a remote farm so he can avoid paying a hefty back taxes debt, and surly bass player Jimmy Nail installs roofs for a living	['The', 'individual', 'band', 'members', 'go', 'their', 'separate', 'ways', 'and', 'uncomfortably', 'settle', 'into', 'lackluster', 'middle', 'age', 'in', 'the', 'dull', 'and', 'uneventful', '90', "'s", ':', 'morose', 'keyboardist', 'Stephen', 'Rea', 'winds', 'up', 'penniless', 'and', 'down', 'on', 'his', 'luck', ',', 'vain', ',', 'neurotic', ',', 'pretentious', 'lead', 'singer', 'Bill', 'Nighy', 'tries', '(', 'and', 'fails', ')', 'to', 'pursue', 'a', 'floundering', 'solo', 'career', ',', 'paranoid', 'drummer', 'Timothy', 'Spall', 'resides', 'in', 'obscurity', 'on', 'a', 'remote', 'farm', 'so', 'he', 'can', 'avoid', 'paying', 'a', 'hefty', 'back', 'taxes', 'debt', ',', 'and', 'surly', 'bass', 'player', 'Jimmy', 'Nail', 'installs', 'roofs', 'for', 'a', 'living']
Former loving groupie turned patient, understanding, long-suffering manager Juliet Aubrey gets the group back together for an ill-advised, largely ineffectual and hilariously disastrous twenty years later nostalgic reunion tour of Europe	['Former', 'loving', 'groupie', 'turned', 'patient', ',', 'understanding', ',', 'long', '-', 'suffering', 'manager', 'Juliet', 'Aubrey', 'gets', 'the', 'group', 'back', 'together', 'for', 'an', 'ill', '-', 'advised', ',', 'largely', 'ineffectual', 'and', 'hilariously', 'disastrous', 'twenty', 'years', 'later', 'nostalgic', 'reunion', 'tour', 'of', 'Europe']
Our lovably ragged bunch try gamely, but fumblingly to reignite a flame that once burned quite brightly back in the day	['Our', 'lovably', 'ragged', 'bunch', 'try', 'gamely', ',', 'but', 'fumblingly', 'to', 'reignite', 'a', 'flame', 'that', 'once', 'burned', 'quite', 'brightly', 'back', 'in', 'the', 'day']
Scraggly zonked-out roadie Billy Connelly and cocky eager beaver young guitarist Hans Matheson tag along for the delightfully bumpy, trouble-plagued, but still ultimately rewarding and enjoyable ride	['Scraggly', 'zonked', '-', 'out', 'roadie', 'Billy', 'Connelly', 'and', 'cocky', 'eager', 'beaver', 'young', 'guitarist', 'Hans', 'Matheson', 'tag', 'along', 'for', 'the', 'delightfully', 'bumpy', ',', 'trouble', '-', 'plagued', ',', 'but', 'still', 'ultimately', 'rewarding', 'and', 'enjoyable', 'ride']
<br /><br />Director Brian Gibson shows tremendously infectious respect and adoration for both his amiably screwy characters in particular and loud, ringing, flamboyantly overblown preening 70's rock in general, this imbuing this affectionate little pip with an utterly engaging sense of big-hearted charm and tireless verve	['<', 'br', '/><br', '/>Director', 'Brian', 'Gibson', 'shows', 'tremendously', 'infectious', 'respect', 'and', 'adoration', 'for', 'both', 'his', 'amiably', 'screwy', 'characters', 'in', 'particular', 'and', 'loud', ',', 'ringing', ',', 'flamboyantly', 'overblown', 'preening', '70', "'s", 'rock', 'in', 'general', ',', 'this', 'imbuing', 'this', 'affectionate', 'little', 'pip', 'with', 'an', 'utterly', 'engaging', 'sense', 'of', 'big', '-', 'hearted', 'charm', 'and', 'tireless', 'verve']
The astute, sharply written script by Dick Clement and Ian La Frenais likewise bristles with spot-on dry wit and finely observed moments of joyous on the road inanity, capturing a certain bittersweetly affecting and frequently uproarious vibe that gives the picture itself an irresistibly luminescent glow	['The', 'astute', ',', 'sharply', 'written', 'script', 'by', 'Dick', 'Clement', 'and', 'Ian', 'La', 'Frenais', 'likewise', 'bristles', 'with', 'spot', '-', 'on', 'dry', 'wit', 'and', 'finely', 'observed', 'moments', 'of', 'joyous', 'on', 'the', 'road', 'inanity', ',', 'capturing', 'a', 'certain', 'bittersweetly', 'affecting', 'and', 'frequently', 'uproarious', 'vibe', 'that', 'gives', 'the', 'picture', 'itself', 'an', 'irresistibly', 'luminescent', 'glow']
Ashley Rowe's lovely, elegant cinematography ensures that the movie always looks quite visually sumptuous while the perfectly catchy and groovy music does the trick with right-on rockin' flair and aplomb	['Ashley', 'Rowe', "'s", 'lovely', ',', 'elegant', 'cinematography', 'ensures', 'that', 'the', 'movie', 'always', 'looks', 'quite', 'visually', 'sumptuous', 'while', 'the', 'perfectly', 'catchy', 'and', 'groovy', 'music', 'does', 'the', 'trick', 'with', 'right', '-', 'on', 'rockin', "'", 'flair', 'and', 'aplomb']
Kudos also to the across-the-board terrific performances that vividly nail the burnt-out soul and tattered, but still fiercely beating heart of a past its prime has-been ragtag rock outfit desperate to regain its erstwhile evanescent glory in one final bid for big time success	['Kudos', 'also', 'to', 'the', 'across', '-', 'the', '-', 'board', 'terrific', 'performances', 'that', 'vividly', 'nail', 'the', 'burnt', '-', 'out', 'soul', 'and', 'tattered', ',', 'but', 'still', 'fiercely', 'beating', 'heart', 'of', 'a', 'past', 'its', 'prime', 'has', '-', 'been', 'ragtag', 'rock', 'outfit', 'desperate', 'to', 'regain', 'its', 'erstwhile', 'evanescent', 'glory', 'in', 'one', 'final', 'bid', 'for', 'big', 'time', 'success']
