<br /><br />I started watching the show in reruns in 2001	[('2001', 391)]
Some examples of this period would be "Transformers", "Garfield and Friends", "Captain Power", and "C	[('Garfield', 380), ('Friends', 383), ('Captain Power', 388)]
" (a cartoon NOT to be confused with the live action show on Fox)	[('Fox', 383)]
Besides these prime examples, Disney also returned to syndicated programs for kids, coming up with a lineup called "The Disney Afternoon"	[('Disney', 383), ('The Disney Afternoon', 388)]
Aside from a dumbed-down show called "The Gummi Bears", early shows like "Darkwing Duck", "Duck Tales", and "Chip 'N Dale's Rescue Rangers" gave credence to the Disney animation teams that were also turning out theatrical classics like "The Little Mermaid", "Beauty and the Beast", "The Rescuers Down Under", and "The Great Mouse Detective"	[('The Gummi Bears', 388), ('Darkwing Duck', 388), ('Duck Tales', 388), ("Chip 'N Dale's Rescue Rangers", 388), ('Disney', 383), ('The Little Mermaid', 388), ('Beauty and the Beast', 388), ('The Rescuers Down Under', 388), ('The Great Mouse Detective', 388)]
But above all these wonders shines "TaleSpin"	[('TaleSpin', 388)]
The premiere of "Plunder and Lightning" was a two-hour thrill ride, and won an Emmy	[('Plunder and Lightning', 388), ('two-hour', 392)]
Much to my delight, the rest of the episodes were up to par on the promise of the premiere	[]
<br /><br />While I enjoy the plots and dialogue, I guess for me the greatest attraction are the characters	[]
There's Rebecca Cunningham, an independent female, but still fallible; Kit Cloudkicker, full of pre-teen angst and optimism; Louie, with his loyalty and support; Frank Wildcat, the most entertaining engineer since Scotty on the original "Star Trek"; Molly Cunningham, cute and witty, but with some depth that most child characters don't have, and of course in the middle of it all, there's Baloo, whom I would describe as a slobby version of James Bond	[('Rebecca Cunningham', 380), ('Kit Cloudkicker', 380), ('Louie', 380), ('Frank Wildcat', 380), ('Scotty', 384), ('Star Trek', 388), ('Molly Cunningham', 380), ('Baloo', 383), ('James Bond', 380)]
This is because whenever there's trouble, Baloo saves the day with the assistance of his sleeker-than-most, fastest-of-all Sea Duck (Read: James Bond's Aston Martin)	[('the day', 391), ("James Bond's", 380), ('Aston Martin', 380)]
Of course every great show has to have great villains, and TaleSpin doesn't disappoint here either	[('TaleSpin', 383)]
From the megalomania of businesstiger Shere Kahn, to the vain and always failing air pirate Don Karnage, to the hilarious and inept Soviet-satirized Thembrians	[('Shere Kahn', 380), ('Don Karnage', 380), ('Soviet', 381), ('Thembrians', 381)]
The animation is good, the music appropriate, and the episodes are (for me) the finest that children's programming has ever had to offer	[]
As did others in this forum, when "Fobidden Planet" was offered in 1956, I rushed to see it	[('Fobidden Planet', 388), ('1956', 391)]
This story is an interesting phenomenon I suggest because young, old, male, female, sci-fi experts and people who find such fare 'way out" all can follow and enjoy this film's story and plot lines very well	[]
This is the first movie set on a planet other than Earth in the 20th Century other than serials such as "Flash Gordon"	[('first', 396), ('Earth', 385), ('the 20th Century', 391), ('Flash Gordon', 388)]
Leslie Nielsen was vocally a bit weak for his role, at that time, but Walter Pigeon, Marvin Miller, Anne Francis, Richard Anderson, Earl Holliman and especially Warren Stevens all acquitted themselves very well	[('Leslie Nielsen', 380), ('Walter Pigeon', 380), ('Marvin Miller', 380), ('Anne Francis', 380), ('Richard Anderson', 380), ('Earl Holliman', 380), ('Warren Stevens', 380)]
There are so many visual splendors in this one, it's hard to choose a favorite from the film's scenes	[]
The approach to Altair-4, the starship itself, the landing on the planet's alien surface, the descent via extensor stairs, the first view of the landscape, the approach of the rocket-sled, Dr	[('first', 396)]
Morbius's house seen from without and from within, the underground complex and its wonders, the setup of the weaponry, the battle with the monster, the final approach of the unseen destroyer,the escape from the doomed planet--all these scenes are etched into the viewer's mind because we discover them along with the participants	[('Morbius', 383)]
Veteran Cyril Hume's literate script was filmed intelligently by long-time director Fred McLeod Wilcox with clarity and imagination	[('Cyril Hume', 380), ('Fred McLeod Wilcox', 380)]
it is a shock to realize there's no music at all; the film is carried by the words, the actors and the mystery-revelation storyline	[]
It can be watched again and again with pleasure--I have been doing so for nearly fifty years	[('nearly fifty years', 391)]
Until this famous and well-loved film was created, no film had tried to imagine a world beyond Earth; and for decades afterward, ships kept crashing back on the planet--as if the writers' imaginations were failing and causing the crashes	[('Earth', 385), ('decades', 391)]
That says something negative about this nation's so-called intellectual leaders' imaginations--and something very positive indeed I suggest about those who made this gem	[]
The funky, yet strictly second-tier British glam-rock band Strange Fruit breaks up at the end of the wild'n'wacky excess-ridden 70's	[('second', 396), ('British', 381), ("wild'n'wacky", 385), ('70', 391)]
The individual band members go their separate ways and uncomfortably settle into lackluster middle age in the dull and uneventful 90's: morose keyboardist Stephen Rea winds up penniless and down on his luck, vain, neurotic, pretentious lead singer Bill Nighy tries (and fails) to pursue a floundering solo career, paranoid drummer Timothy Spall resides in obscurity on a remote farm so he can avoid paying a hefty back taxes debt, and surly bass player Jimmy Nail installs roofs for a living	[('90', 397), ('Stephen Rea', 380), ('Bill Nighy', 380), ('Timothy Spall', 380), ('Jimmy Nail', 380)]
Former loving groupie turned patient, understanding, long-suffering manager Juliet Aubrey gets the group back together for an ill-advised, largely ineffectual and hilariously disastrous twenty years later nostalgic reunion tour of Europe	[('Juliet Aubrey', 380), ('twenty years later', 391), ('Europe', 385)]
Our lovably ragged bunch try gamely, but fumblingly to reignite a flame that once burned quite brightly back in the day	[('the day', 391)]
Scraggly zonked-out roadie Billy Connelly and cocky eager beaver young guitarist Hans Matheson tag along for the delightfully bumpy, trouble-plagued, but still ultimately rewarding and enjoyable ride	[('Billy Connelly', 380), ('Hans Matheson', 380)]
<br /><br />Director Brian Gibson shows tremendously infectious respect and adoration for both his amiably screwy characters in particular and loud, ringing, flamboyantly overblown preening 70's rock in general, this imbuing this affectionate little pip with an utterly engaging sense of big-hearted charm and tireless verve	[('Brian Gibson', 380), ('70', 397)]
The astute, sharply written script by Dick Clement and Ian La Frenais likewise bristles with spot-on dry wit and finely observed moments of joyous on the road inanity, capturing a certain bittersweetly affecting and frequently uproarious vibe that gives the picture itself an irresistibly luminescent glow	[('Dick Clement', 380), ('Ian La Frenais', 380)]
Ashley Rowe's lovely, elegant cinematography ensures that the movie always looks quite visually sumptuous while the perfectly catchy and groovy music does the trick with right-on rockin' flair and aplomb	[("Ashley Rowe's", 380)]
